Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
Rio Grande do Norte ;1.070.994;473.154;  -   ;29.793;2.815;72.853;24.049;21;717.0;4.65;376.972;51.234;6.236;1;10.289;5.55;57.0;38.0;  -   ;125.0;479.0;11.961;nordeste;maio;2015
Sergipe;639.910;288.892;  -   ;20.444;2.2;35.875;12.689;22;184.0;3.293;212.103;36.815;6.291;  -   ;14.078;2.93;42.0;62.0;1;128.0;331.0;3.53;nordeste;maio;2015
Espírito Santo;1.716.482;858.383;  -   ;68.715;17.32;143.431;49.604;16;1.122;7.512;400.106;92.812;14.653;2;22.871;23.292;132.0;178.0;18;2.102;1.25;12.963;sudeste;maio;2015
Minas Gerais ;9.607.502;5.298.064;  -   ;314.59;61.923;758.188;262.296;24;19.708;42.449;2.255.512;249.922;71.418;9;143.424;74.034;1.413;1.068;47;2.028;4.214;47.171;sudeste;maio;2015
Rio de Janeiro;6.033.165;4.108.906;  -   ;140.44;15.503;305.208;263.039;62;19.93;37.857;831.525;147.499;46.273;9;47.172;19.437;203.0;453.0;1;693.0;1.767;47.188;sudeste;maio;2015
São Paulo ;26.113.681;16.550.593;26;661.604;157.486;1.726.941;1.021.036;675;50.334;115.178;4.192.969;772.707;151.992;58;276.73;229.355;1.916;1.749;58;10.328;3.698;188.248;sudeste;maio;2015
Paraná;6.823.883;4.033.845;3;257.55;83.361;570.448;205.495;88;7.612;20.634;1.059.670;265.796;39.35;19;109.36;124.284;598.0;823.0;12;1.855;1.688;41.392;sul;maio;2015
Rio Grande do Sul ;6.319.903;3.880.032;3;216.91;54.004;446.500;211.829;176;4.611;19.805;1.004.254;174.549;38.789;38;146.885;68.719;423.0;3.983;38;7.393;904.0;40.058;sul;maio;2015
Santa Catarina;4.518.917;2.598.518;  -   ;145.564;48.247;325.997;136.752;58;1.593;11.238;802.983;249.917;18.576;11;72.068;65.219;674.0;1.67;13;2.974;604.0;36.241;sul;maio;2015
Distrito Federal;1.616.445;1.164.952;  -   ;22.856;3.178;110.108;69.160;21;1.059;5.257;166.615;16.585;11.871;1;19.338;3.747;711.0;166.0;6;584.0;442.0;19.788;centro-oeste;maio;2015
Goiás;3.455.857;1.641.630;  -   ;106.057;27.008;311.481;82.181;66;20.847;8.723;793.111;242.613;20.929;  -   ;137.935;43.864;140.0;213.0;4;228.0;733.0;18.094;centro-oeste;maio;2015
Mato Grosso;1.740.044;601.794;  -   ;64.643;28.048;179.882;33.328;3;6.84;3.226;540.358;183.687;10.571;2;26.336;49.696;136.0;99.0;2;87.0;841.0;10.465;centro-oeste;maio;2015
Mato Grosso do Sul;1.368.356;634.880;10;47.974;14.303;133.995;33.111;39;1.326;3.414;334.016;97.383;8.736;1;25.715;23.831;173.0;146.0;4;212.0;427.0;8.66;centro-oeste;maio;2015
Acre ;232.067;75.316;  -   ;6.737;702.0;22.195;3.845;10;251.0;330.0;96.954;20.099;1.026;  -   ;2.262;1.118;60.0;19.0;  -   ;1.0;138.0;1.004;norte;junho;2015
Amapá ;170.067;71.427;  -   ;3.978;290.0;18.636;4.031;14;844.0;449.0;55.607;10.659;1.1;  -   ;1.013;941.0;50.0;9.0;  -   ;5.0;231.0;783.0;norte;junho;2015
Amazonas;778.071;353.134;  -   ;19.84;2.948;78.743;26.336;37;1.55;3.451;213.977;48.324;8.836;  -   ;2.351;12.279;7.0;78.0;  -   ;69.0;1.315;4.796;norte;junho;2015
Pará ;1.653.483;508.912;  -   ;55.223;6.856;117.970;34.376;95;4.272;6.337;703.688;155.836;16.455;1;18.055;12.93;161.0;108.0;  -   ;101.0;1.184;10.923;norte;junho;2015
Rondônia ;842.554;237.614;  -   ;28.75;5.654;75.389;10.546;8;753.0;1.127;348.763;104.517;5.246;  -   ;10.872;10.284;40.0;31.0;1;39.0;279.0;2.641;norte;junho;2015
Roraima;185.057;60.660;  -   ;4.269;535.0;21.002;4.302;  -   ;835.0;618.0;71.062;17.841;939.0;  -   ;934.0;983.0;4.0;9.0;  -   ;2.0;59.0;1.003;norte;junho;2015
Tocantins;592.107;180.081;  -   ;21.96;4.366;54.873;9.256;3;1.768;1.598;202.924;82.715;5.03;  -   ;18.307;6.314;112.0;37.0;  -   ;32.0;95.0;2.636;norte;junho;2015
Alagoas;695.624;304.782;  -   ;20.12;2.191;46.560;17.758;28;56.0;5.972;233.204;33.873;6.655;1;13.56;6.065;49.0;40.0;  -   ;17.0;204.0;4.489;nordeste;junho;2015
Bahia;3.535.277;1.573.086;3;112.145;19.384;293.903;94.206;198;3.704;25.807;1.124.256;160.776;36.902;1;36.711;29.956;667.0;152.0;3;227.0;1.848;21.342;nordeste;junho;2015
Ceará;2.685.747;985.250;  -   ;66.593;7.382;164.756;52.626;117;709.0;10.759;1.179.948;137.067;15.476;  -   ;28.881;10.185;334.0;111.0;  -   ;233.0;1.208;24.112;nordeste;junho;2015
Maranhão ;1.405.351;372.984;  -   ;36.615;3.627;96.744;19.933;83;9.364;4.374;705.558;127.269;7.771;  -   ;7.939;5.49;38.0;43.0;  -   ;66.0;314.0;7.139;nordeste;junho;2015
Paraíba ;1.072.653;452.076;  -   ;27.493;2.58;69.418;23.102;20;141.0;4.303;411.823;57.592;6.879;1;5.72;4.039;28.0;47.0;  -   ;31.0;326.0;7.034;nordeste;junho;2015
Pernambuco ;2.637.374;1.182.214;  -   ;89.388;10.901;160.744;80.678;91;1.175;17.332;918.927;93.674;18.871;1;28.851;18.021;142.0;99.0;  -   ;308.0;1.135;14.822;nordeste;junho;2015
Piauí;986.425;293.027;  -   ;25.456;2.239;69.646;14.240;34;5.961;3.028;470.490;83.145;5.978;  -   ;3.976;3.331;201.0;39.0;  -   ;75.0;933.0;4.626;nordeste;junho;2015
Rio Grande do Norte ;1.076.098;475.364;  -   ;29.901;2.831;73.203;24.227;21;728.0;4.663;378.727;51.48;6.248;1;10.38;5.576;57.0;38.0;  -   ;125.0;481.0;12.047;nordeste;junho;2015
Sergipe;642.792;290.120;  -   ;20.489;2.206;36.120;12.775;22;184.0;3.306;213.056;36.979;6.304;  -   ;14.173;2.954;42.0;63.0;1;128.0;333.0;3.537;nordeste;junho;2015
Espírito Santo;1.722.070;860.637;  -   ;68.894;17.33;143.938;49.854;16;1.121;7.529;401.560;93.256;14.695;2;23.114;23.374;132.0;179.0;18;2.103;1.264;13.054;sudeste;junho;2015
Minas Gerais ;9.644.056;5.316.748;  -   ;315.212;62.086;761.232;264.333;24;19.858;42.601;2.263.762;251.278;71.529;9;144.515;74.33;1.413;1.078;47;2.038;4.255;47.708;sudeste;junho;2015
Rio de Janeiro;6.054.720;4.121.207;  -   ;140.624;15.54;306.475;264.300;62;20.479;37.965;835.713;148.169;46.346;9;47.62;19.493;203.0;458.0;1;694.0;1.782;47.58;sudeste;junho;2015
São Paulo ;26.191.184;16.596.231;26;662.232;157.886;1.733.805;1.026.103;668;50.357;115.453;4.203.849;776.205;152.26;58;278.21;229.872;1.916;1.764;58;10.355;3.734;190.142;sudeste;junho;2015
Paraná;6.841.919;4.043.523;3;258.019;83.41;572.692;206.342;87;7.62;20.662;1.062.130;266.641;39.462;19;110.099;124.526;598.0;831.0;12;1.864;1.703;41.676;sul;junho;2015
Rio Grande do Sul ;6.338.854;3.891.166;3;217.325;54.063;448.634;213.158;174;4.628;19.833;1.006.244;174.95;38.865;39;147.683;68.867;423.0;3.994;38;7.417;904.0;40.446;sul;junho;2015
Santa Catarina;4.532.498;2.605.690;  -   ;145.788;48.311;327.461;137.798;58;1.593;11.288;804.670;250.524;18.584;11;72.757;65.342;674.0;1.686;13;2.977;606.0;36.667;sul;junho;2015
Distrito Federal;1.621.574;1.167.927;  -   ;22.92;3.172;110.477;69.674;21;1.066;5.268;167.358;16.692;11.865;1;19.537;3.77;711.0;162.0;6;586.0;450.0;19.911;centro-oeste;junho;2015
Goiás;3.470.399;1.647.739;  -   ;106.246;27.089;312.912;82.741;66;21.112;8.748;795.876;243.984;20.98;  -   ;139.254;44.009;140.0;217.0;4;227.0;747.0;18.308;centro-oeste;junho;2015
Mato Grosso;1.749.294;604.754;  -   ;64.91;28.101;180.996;33.571;3;6.875;3.236;542.925;185.067;10.621;2;26.643;49.823;136.0;99.0;2;88.0;848.0;10.594;centro-oeste;junho;2015
Mato Grosso do Sul;1.374.221;637.529;10;48.115;14.341;134.729;33.302;39;1.329;3.428;335.107;97.883;8.768;1;25.882;24.021;173.0;146.0;4;215.0;430.0;8.769;centro-oeste;junho;2015
Acre ;233.641;75.771;  -   ;6.756;712.0;22.348;3.885;10;251.0;332.0;97.621;20.275;1.03;  -   ;2.292;1.13;60.0;19.0;  -   ;1.0;138.0;1.01;norte;julho;2015
Amapá ;170.919;71.698;  -   ;3.987;291.0;18.716;4.066;14;860.0;451.0;55.942;10.74;1.1;  -   ;1.02;942.0;50.0;9.0;  -   ;5.0;234.0;794.0;norte;julho;2015
Amazonas;781.638;354.311;  -   ;19.864;2.98;79.188;26.419;37;1.563;3.458;215.395;48.649;8.822;  -   ;2.388;12.287;7.0;77.0;  -   ;69.0;1.32;4.804;norte;julho;2015
Pará ;1.667.709;511.985;  -   ;55.475;6.887;118.853;34.607;95;4.351;6.356;710.927;157.612;16.628;1;18.328;12.997;161.0;108.0;  -   ;102.0;1.214;11.022;norte;julho;2015
Rondônia ;847.009;238.874;  -   ;28.878;5.665;75.872;10.614;8;753.0;1.13;350.410;105.09;5.305;  -   ;11.019;10.336;40.0;31.0;1;39.0;282.0;2.662;norte;julho;2015
Roraima;186.094;61.101;  -   ;4.294;545.0;21.149;4.327;  -   ;844.0;619.0;71.300;17.916;964.0;  -   ;946.0;996.0;4.0;9.0;  -   ;2.0;61.0;1.017;norte;julho;2015
Tocantins;596.353;181.302;  -   ;22.037;4.385;55.361;9.312;3;1.785;1.592;204.295;83.288;5.058;  -   ;18.632;6.36;112.0;38.0;  -   ;32.0;98.0;2.663;norte;julho;2015
Alagoas;699.828;306.196;  -   ;20.18;2.198;46.815;17.912;28;118.0;6.0;234.961;34.101;6.687;1;13.657;6.101;49.0;41.0;  -   ;17.0;205.0;4.561;nordeste;julho;2015
Bahia;3.555.454;1.581.255;3;112.391;19.423;295.809;94.979;196;3.708;25.937;1.130.638;161.946;37.071;1;37.051;30.518;667.0;152.0;3;227.0;1.866;21.613;nordeste;julho;2015
Ceará;2.701.760;990.530;  -   ;66.8;7.432;165.736;52.949;117;709.0;10.805;1.187.449;138.099;15.536;  -   ;29.13;10.247;334.0;110.0;  -   ;233.0;1.22;24.324;nordeste;julho;2015
Maranhão ;1.415.415;375.088;  -   ;36.831;3.649;97.455;20.097;82;9.441;4.413;710.848;128.44;7.81;  -   ;8.043;5.533;38.0;43.0;  -   ;67.0;321.0;7.216;nordeste;julho;2015
Paraíba ;1.078.573;454.288;  -   ;27.559;2.591;69.833;23.332;20;141.0;4.329;414.279;57.887;6.911;1;5.771;4.069;28.0;47.0;  -   ;35.0;336.0;7.116;nordeste;julho;2015
Pernambuco ;2.648.339;1.186.226;  -   ;89.586;10.927;161.507;81.099;91;1.177;17.423;923.342;94.195;18.88;1;29.115;18.094;142.0;99.0;  -   ;308.0;1.155;14.972;nordeste;julho;2015
Piauí;993.516;294.979;  -   ;25.586;2.252;70.173;14.418;34;6.001;3.056;473.772;83.873;6.016;  -   ;4.051;3.341;201.0;39.0;  -   ;75.0;939.0;4.71;nordeste;julho;2015
Rio Grande do Norte ;1.081.749;477.753;  -   ;30.002;2.847;73.585;24.465;21;750.0;4.681;380.647;51.751;6.281;1;10.495;5.636;57.0;39.0;  -   ;125.0;481.0;12.132;nordeste;julho;2015
Sergipe;646.172;291.631;  -   ;20.536;2.209;36.365;12.921;22;184.0;3.322;214.117;37.141;6.316;  -   ;14.284;2.974;42.0;63.0;1;128.0;338.0;3.578;nordeste;julho;2015
Espírito Santo;1.728.186;863.208;  -   ;69.044;17.333;144.542;50.192;16;1.122;7.552;403.059;93.78;14.715;2;23.338;23.387;132.0;180.0;18;2.108;1.272;13.186;sudeste;julho;2015
Minas Gerais ;9.685.088;5.338.573;  -   ;315.837;62.224;765.477;265.869;24;20.019;42.781;2.272.482;252.633;71.651;9;145.739;74.596;1.415;1.082;47;2.047;4.295;48.288;sudeste;julho;2015
Rio de Janeiro;6.078.884;4.134.729;  -   ;140.874;15.596;307.895;265.859;61;21.089;38.034;840.396;148.908;46.413;9;48.152;19.57;203.0;457.0;1;695.0;1.796;48.147;sudeste;julho;2015
São Paulo ;26.267.820;16.640.880;26;662.853;158.194;1.740.509;1.031.549;667;50.392;115.684;4.214.641;779.608;152.458;58;279.84;230.369;1.914;1.776;58;10.384;3.774;192.186;sudeste;julho;2015
Paraná;6.860.422;4.053.369;3;258.532;83.558;575.020;207.239;87;7.625;20.74;1.064.448;267.426;39.565;19;110.857;124.867;598.0;837.0;12;1.863;1.718;42.039;sul;julho;2015
Rio Grande do Sul ;6.358.124;3.902.315;3;217.719;54.165;451.042;214.617;173;4.636;19.883;1.008.188;175.293;38.907;38;148.436;69.005;423.0;4.01;38;7.43;904.0;40.899;sul;julho;2015
Santa Catarina;4.547.092;2.613.288;  -   ;146.021;48.337;329.099;139.002;58;1.594;11.312;806.396;251.184;18.618;12;73.547;65.432;674.0;1.714;13;2.982;611.0;37.198;sul;julho;2015
Distrito Federal;1.627.141;1.171.084;  -   ;22.977;3.165;110.809;70.339;21;1.077;5.289;168.171;16.797;11.889;1;19.746;3.783;711.0;166.0;6;586.0;453.0;20.071;centro-oeste;julho;2015
Goiás;3.484.975;1.654.136;  -   ;106.504;27.177;314.151;83.275;66;21.393;8.789;798.508;245.24;21.011;  -   ;140.67;44.173;140.0;219.0;4;229.0;760.0;18.53;centro-oeste;julho;2015
Mato Grosso;1.758.587;607.656;  -   ;65.156;28.221;182.060;33.789;3;6.913;3.257;545.551;186.448;10.658;2;26.957;50.021;136.0;104.0;2;89.0;854.0;10.71;centro-oeste;julho;2015
Mato Grosso do Sul;1.380.074;640.198;10;48.201;14.364;135.446;33.547;39;1.331;3.447;336.188;98.405;8.791;1;26.118;24.121;173.0;147.0;4;218.0;433.0;8.892;centro-oeste;julho;2015
Acre ;234.926;76.157;  -   ;6.768;720.0;22.470;3.903;10;253.0;335.0;98.153;20.417;1.032;  -   ;2.334;1.14;60.0;19.0;  -   ;1.0;140.0;1.014;norte;agosto;2015
Amapá ;171.604;71.932;  -   ;3.985;292.0;18.799;4.093;14;870.0;451.0;56.188;10.802;1.108;  -   ;1.028;941.0;50.0;9.0;  -   ;5.0;238.0;799.0;norte;agosto;2015
Amazonas;784.493;355.209;  -   ;19.861;2.975;79.374;26.525;37;1.595;3.459;216.644;48.958;8.832;  -   ;2.407;12.32;7.0;77.0;  -   ;69.0;1.353;4.791;norte;agosto;2015
Pará ;1.678.053;514.150;  -   ;55.713;6.932;119.620;34.792;95;4.407;6.37;716.139;158.842;16.716;1;18.539;13.06;161.0;108.0;  -   ;112.0;1.223;11.073;norte;agosto;2015
Rondônia ;851.073;240.016;  -   ;28.985;5.698;76.395;10.675;8;756.0;1.135;351.854;105.632;5.322;  -   ;11.148;10.371;40.0;31.0;1;39.0;284.0;2.683;norte;agosto;2015
Roraima;187.209;61.540;  -   ;4.321;551.0;21.349;4.345;  -   ;849.0;623.0;71.600;17.974;979.0;  -   ;960.0;1.013;4.0;9.0;  -   ;2.0;61.0;1.029;norte;agosto;2015
Tocantins;600.344;182.624;  -   ;22.117;4.398;55.760;9.373;3;1.792;1.589;205.470;83.853;5.112;  -   ;18.88;6.415;112.0;38.0;  -   ;32.0;98.0;2.678;norte;agosto;2015
Alagoas;703.185;307.199;  -   ;20.185;2.205;46.899;17.997;28;254.0;6.019;236.535;34.333;6.727;1;13.748;6.138;49.0;43.0;  -   ;17.0;206.0;4.602;nordeste;agosto;2015
Bahia;3.571.961;1.587.817;3;112.615;19.468;297.455;95.672;196;3.748;26.023;1.136.152;162.918;37.135;1;37.391;30.628;667.0;156.0;3;225.0;1.872;21.816;nordeste;agosto;2015
Ceará;2.716.811;995.675;  -   ;67.136;7.485;166.702;53.236;116;711.0;10.845;1.194.194;138.996;15.626;  -   ;29.363;10.313;333.0;114.0;  -   ;239.0;1.239;24.488;nordeste;agosto;2015
Maranhão ;1.424.762;376.837;  -   ;36.995;3.707;98.073;20.267;82;9.497;4.452;715.906;129.546;7.863;  -   ;8.148;5.619;38.0;43.0;  -   ;67.0;322.0;7.3;nordeste;agosto;2015
Paraíba ;1.083.836;456.347;  -   ;27.646;2.6;70.183;23.485;19;141.0;4.356;416.418;58.183;6.929;1;5.815;4.078;28.0;47.0;  -   ;41.0;337.0;7.182;nordeste;agosto;2015
Pernambuco ;2.657.817;1.190.007;  -   ;89.666;10.993;162.025;81.402;91;1.258;17.494;927.082;94.586;18.879;1;29.355;18.159;142.0;99.0;  -   ;309.0;1.158;15.111;nordeste;agosto;2015
Piauí;999.577;296.676;  -   ;25.695;2.265;70.703;14.585;34;6.034;3.063;476.536;84.431;6.047;  -   ;4.113;3.352;201.0;39.0;  -   ;75.0;968.0;4.76;nordeste;agosto;2015
Rio Grande do Norte ;1.087.303;479.972;  -   ;30.132;2.855;73.922;24.639;21;1.21;4.692;382.338;52.034;6.297;1;10.604;5.675;57.0;39.0;  -   ;125.0;486.0;12.204;nordeste;agosto;2015
Sergipe;649.465;292.957;  -   ;20.595;2.219;36.632;13.052;22;183.0;3.327;215.201;37.329;6.351;  -   ;14.423;3.002;42.0;63.0;1;128.0;345.0;3.593;nordeste;agosto;2015
Espírito Santo;1.733.347;865.385;  -   ;69.176;17.311;145.009;50.378;16;1.122;7.559;404.378;94.244;14.711;2;23.601;23.413;132.0;182.0;18;2.104;1.298;13.308;sudeste;agosto;2015
Minas Gerais ;9.722.748;5.358.368;  -   ;316.411;62.413;768.995;267.157;24;20.239;42.939;2.280.926;253.949;71.69;9;146.98;74.848;1.415;1.091;47;2.048;4.328;48.871;sudeste;agosto;2015
Rio de Janeiro;6.100.978;4.147.016;  -   ;141.153;15.674;309.141;267.338;61;21.659;38.087;844.618;149.558;46.617;9;48.665;19.652;203.0;462.0;1;693.0;1.825;48.546;sudeste;agosto;2015
São Paulo ;26.340.465;16.682.864;26;663.307;158.428;1.745.929;1.036.687;659;50.496;115.873;4.225.733;783.12;152.628;58;281.442;230.874;1.914;1.825;58;10.417;3.82;194.307;sudeste;agosto;2015
Paraná;6.879.629;4.064.056;3;258.93;83.629;577.248;208.005;86;7.633;20.811;1.066.997;268.251;39.684;19;111.689;125.144;598.0;840.0;12;1.86;1.726;42.408;sul;agosto;2015
Rio Grande do Sul ;6.377.559;3.913.700;3;218.145;54.232;452.997;216.045;171;4.656;19.915;1.010.482;175.669;38.946;38;149.195;69.148;423.0;4.026;38;7.449;909.0;41.372;sul;agosto;2015
Santa Catarina;4.561.067;2.620.483;  -   ;146.186;48.365;330.546;140.145;54;1.598;11.313;808.374;251.865;18.651;12;74.293;65.488;674.0;1.724;13;2.981;613.0;37.689;sul;agosto;2015
Distrito Federal;1.631.970;1.173.886;  -   ;23.023;3.158;111.063;70.886;21;1.078;5.309;168.816;16.871;11.924;1;19.945;3.78;711.0;166.0;6;587.0;461.0;20.278;centro-oeste;agosto;2015
Goiás;3.497.596;1.659.510;  -   ;106.709;27.25;315.000;83.793;66;21.717;8.834;801.110;246.454;21.078;  -   ;141.685;44.298;140.0;221.0;4;231.0;765.0;18.731;centro-oeste;agosto;2015
Mato Grosso;1.767.046;610.520;  -   ;65.423;28.295;182.944;33.956;3;6.936;3.281;547.914;187.641;10.702;2;27.229;50.189;136.0;104.0;2;90.0;854.0;10.825;centro-oeste;agosto;2015
Mato Grosso do Sul;1.385.237;642.647;10;48.262;14.398;136.061;33.729;39;1.335;3.468;337.183;98.754;8.823;1;26.312;24.236;173.0;148.0;4;215.0;435.0;9.004;centro-oeste;agosto;2015
Acre ;236.124;76.497;  -   ;6.784;739.0;22.609;3.919;10;254.0;336.0;98.646;20.542;1.035;  -   ;2.364;1.146;60.0;19.0;  -   ;1.0;142.0;1.021;norte;setembro;2015
Amapá ;172.459;72.214;  -   ;4.0;293.0;18.921;4.116;14;870.0;450.0;56.493;10.878;1.11;  -   ;1.035;943.0;50.0;9.0;  -   ;5.0;248.0;810.0;norte;setembro;2015
Amazonas;787.319;356.134;  -   ;19.881;2.977;79.589;26.605;37;1.621;3.459;217.908;49.214;8.827;  -   ;2.431;12.324;7.0;77.0;  -   ;69.0;1.365;4.794;norte;setembro;2015
Pará ;1.688.360;516.488;  -   ;55.978;6.954;120.469;34.998;95;4.491;6.375;721.082;160.072;16.759;1;18.708;13.116;161.0;111.0;  -   ;112.0;1.234;11.156;norte;setembro;2015
Rondônia ;854.746;240.978;  -   ;29.06;5.729;76.796;10.729;8;774.0;1.141;353.193;106.236;5.347;  -   ;11.266;10.398;40.0;31.0;1;40.0;284.0;2.695;norte;setembro;2015
Roraima;188.184;61.912;  -   ;4.342;555.0;21.465;4.362;  -   ;861.0;626.0;71.903;18.073;980.0;  -   ;976.0;1.019;4.0;9.0;  -   ;2.0;61.0;1.034;norte;setembro;2015
Tocantins;603.114;183.530;  -   ;22.144;4.415;55.965;9.414;3;1.801;1.585;206.355;84.308;5.118;  -   ;19.064;6.435;112.0;38.0;  -   ;32.0;101.0;2.694;norte;setembro;2015
Alagoas;706.472;308.326;  -   ;20.21;2.208;47.043;18.076;28;283.0;6.027;238.061;34.492;6.753;1;13.823;6.184;49.0;43.0;  -   ;17.0;207.0;4.641;nordeste;setembro;2015
Bahia;3.588.414;1.594.238;3;112.821;19.509;298.921;96.343;196;3.807;26.08;1.141.709;164.0;37.298;1;37.712;30.763;667.0;156.0;4;226.0;1.887;22.073;nordeste;setembro;2015
Ceará;2.730.858;1.000.320;  -   ;67.417;7.504;167.472;53.499;116;715.0;10.904;1.200.681;139.886;15.72;  -   ;29.598;10.372;333.0;115.0;  -   ;239.0;1.251;24.716;nordeste;setembro;2015
Maranhão ;1.434.216;378.608;  -   ;37.144;3.749;98.755;20.416;82;9.56;4.473;720.933;130.789;7.907;  -   ;8.247;5.692;38.0;43.0;  -   ;65.0;324.0;7.391;nordeste;setembro;2015
Paraíba ;1.088.998;458.413;  -   ;27.696;2.609;70.516;23.667;19;141.0;4.371;418.521;58.437;6.95;1;5.859;4.101;28.0;47.0;  -   ;41.0;343.0;7.238;nordeste;setembro;2015
Pernambuco ;2.668.449;1.193.680;  -   ;90.002;11.029;162.544;81.801;91;1.574;17.579;931.280;95.075;18.931;1;29.66;18.212;142.0;100.0;  -   ;309.0;1.175;15.264;nordeste;setembro;2015
Piauí;1.005.678;298.425;  -   ;25.81;2.282;71.126;14.716;33;6.062;3.075;479.387;85.002;6.085;  -   ;4.176;3.367;201.0;39.0;  -   ;75.0;978.0;4.839;nordeste;setembro;2015
Rio Grande do Norte ;1.093.673;482.087;  -   ;30.244;2.876;74.274;24.817;21;2.467;4.71;384.076;52.319;6.3;1;10.711;5.736;57.0;39.0;  -   ;125.0;487.0;12.326;nordeste;setembro;2015
Sergipe;652.330;294.120;  -   ;20.62;2.227;36.771;13.140;22;204.0;3.335;216.217;37.529;6.366;  -   ;14.555;3.021;42.0;63.0;1;128.0;346.0;3.623;nordeste;setembro;2015
Espírito Santo;1.738.191;867.474;  -   ;69.215;17.287;145.415;50.620;16;1.129;7.592;405.556;94.705;14.686;2;23.835;23.453;132.0;186.0;18;2.112;1.313;13.445;sudeste;setembro;2015
Minas Gerais ;9.758.944;5.377.479;  -   ;316.865;62.577;772.767;268.422;24;20.646;43.029;2.288.482;255.142;71.808;9;148.128;75.105;1.415;1.093;46;2.051;4.375;49.481;sudeste;setembro;2015
Rio de Janeiro;6.122.396;4.158.759;  -   ;141.547;15.735;310.297;268.751;61;22.45;38.174;848.460;150.158;46.717;9;49.204;19.773;203.0;461.0;1;692.0;1.831;49.113;sudeste;setembro;2015
São Paulo ;26.410.835;16.723.135;26;663.863;158.831;1.750.873;1.041.640;657;50.685;116.078;4.236.561;786.343;152.877;58;283.118;231.421;1.914;1.85;58;10.431;3.867;196.549;sudeste;setembro;2015
Paraná;6.897.434;4.073.521;3;259.323;83.741;579.497;208.912;86;7.643;20.851;1.069.372;269.016;39.795;19;112.452;125.43;598.0;847.0;12;1.861;1.73;42.725;sul;setembro;2015
Rio Grande do Sul ;6.396.163;3.924.393;3;218.472;54.3;455.249;217.329;167;4.674;19.951;1.012.382;176.067;38.994;38;150.034;69.324;423.0;4.042;38;7.465;915.0;41.903;sul;setembro;2015
Santa Catarina;4.575.233;2.628.035;  -   ;146.349;48.426;331.871;141.295;54;1.602;11.337;810.153;252.473;18.676;12;75.077;65.623;674.0;1.745;13;2.987;614.0;38.217;sul;setembro;2015
Distrito Federal;1.637.005;1.176.828;  -   ;23.088;3.153;111.335;71.431;21;1.084;5.321;169.486;16.924;11.977;1;20.083;3.809;711.0;165.0;6;588.0;467.0;20.527;centro-oeste;setembro;2015
Goiás;3.509.864;1.664.467;  -   ;106.951;27.311;315.936;84.299;67;22.167;8.851;803.594;247.632;21.082;  -   ;142.792;44.393;140.0;222.0;4;233.0;774.0;18.949;centro-oeste;setembro;2015
Mato Grosso;1.775.161;612.938;  -   ;65.629;28.369;183.831;34.218;3;6.971;3.29;550.221;188.95;10.749;2;27.494;50.368;136.0;106.0;2;90.0;857.0;10.937;centro-oeste;setembro;2015
Mato Grosso do Sul;1.390.191;644.979;10;48.364;14.424;136.625;33.919;38;1.355;3.465;338.124;99.103;8.817;1;26.562;24.33;173.0;146.0;4;213.0;438.0;9.101;centro-oeste;setembro;2015
Acre ;237.230;76.826;  -   ;6.804;745.0;22.709;3.932;10;255.0;339.0;99.112;20.652;1.038;  -   ;2.397;1.153;60.0;19.0;  -   ;2.0;146.0;1.031;norte;outubro;2015
Amapá ;173.124;72.456;  -   ;4.009;294.0;19.016;4.131;14;875.0;451.0;56.709;10.938;1.11;  -   ;1.041;943.0;50.0;9.0;  -   ;5.0;253.0;820.0;norte;outubro;2015
Amazonas;789.813;356.877;  -   ;19.896;2.976;79.749;26.639;37;1.647;3.466;219.175;49.435;8.818;  -   ;2.451;12.325;7.0;77.0;  -   ;69.0;1.372;4.797;norte;outubro;2015
Pará ;1.698.248;518.382;  -   ;56.212;6.992;121.269;35.191;94;4.569;6.379;726.321;161.107;16.81;1;18.87;13.171;161.0;111.0;  -   ;112.0;1.257;11.239;norte;outubro;2015
Rondônia ;858.341;242.085;  -   ;29.115;5.752;77.233;10.780;8;852.0;1.147;354.298;106.779;5.366;  -   ;11.383;10.429;40.0;31.0;1;40.0;284.0;2.718;norte;outubro;2015
Roraima;189.057;62.278;  -   ;4.362;559.0;21.579;4.383;  -   ;876.0;633.0;72.130;18.154;987.0;  -   ;985.0;1.023;4.0;9.0;  -   ;2.0;61.0;1.032;norte;outubro;2015
Tocantins;605.460;184.234;  -   ;22.19;4.433;56.191;9.449;3;1.806;1.583;207.150;84.663;5.106;  -   ;19.207;6.479;112.0;38.0;  -   ;32.0;101.0;2.683;norte;outubro;2015
Alagoas;709.615;309.401;  -   ;20.264;2.211;47.161;18.153;28;290.0;6.033;239.509;34.668;6.768;1;13.904;6.219;49.0;43.0;  -   ;17.0;211.0;4.685;nordeste;outubro;2015
